agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
6,38,36,18.0,11.0,7.0,7.0,6.5,0.0,6.5
7,34,1,25.5,14.5,11.0,11.0,6.5,0.0,6.5
9,97,1,28.0,17.5,10.5,10.0,2.5,0.5,3.0
8,98,1,30.5,16.0,14.5,14.0,4.5,0.5,5.0
10,36,1,33.5,19.0,14.5,13.0,0.5,1.5,2.0
11,38,35,41.5,35.5,6.0,6.0,13.5,0.0,13.5
12,37,97,46.0,41.0,5.0,5.0,15.5,0.0,15.5
14,38,35,49.5,43.5,6.0,6.0,7.5,0.0,7.5
13,98,2,55.5,40.5,15.0,15.0,11.5,0.0,11.5
15,34,1,55.5,44.5,11.0,11.0,5.0,0.0,5.0
17,38,97,61.5,55.5,6.0,6.0,9.0,0.0,9.0
16,36,1,64.0,51.0,13.0,13.0,8.0,0.0,8.0
18,37,97,70.5,65.5,5.0,5.0,15.5,0.0,15.5
19,35,2,80.5,67.5,13.0,13.0,14.0,0.0,14.0
20,98,1,81.5,67.5,14.0,14.0,10.5,0.0,10.5
21,38,98,82.0,74.0,8.0,8.0,13.5,0.0,13.5
22,36,2,89.5,75.5,14.0,14.0,11.5,0.0,11.5
23,37,35,97.5,90.5,7.0,7.0,23.0,0.0,23.0
25,97,1,98.0,88.0,10.0,10.0,13.5,0.0,13.5
24,34,1,105.5,94.5,11.0,11.0,23.5,0.0,23.5
26,38,36,105.5,98.5,7.0,7.0,20.5,0.0,20.5
27,98,2,116.5,101.5,15.0,15.0,16.5,0.0,16.5
29,34,1,120.5,109.5,11.0,11.0,14.0,0.0,14.0
11,37,97,39.0,34.0,5.0,5.0,12.0,0.0,12.0
9,34,1,42.5,31.5,11.0,11.0,16.5,0.0,16.5
