agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,35,12.5,6.5,6.0,6.0,5.5,0.0,5.5
7,37,36,20.5,12.5,8.0,8.0,7.5,0.0,7.5
9,35,1,25.5,13.5,12.0,12.0,0.5,0.0,0.5
8,98,2,27.5,12.5,15.0,15.0,3.5,0.0,3.5
11,37,35,35.5,28.5,7.0,7.0,7.5,0.0,7.5
10,97,1,36.0,25.5,10.5,10.0,8.5,0.5,9.0
12,38,35,40.5,32.5,8.0,6.0,7.5,2.0,9.5
14,37,97,43.5,38.5,5.0,5.0,5.5,0.0,5.5
15,38,98,49.5,41.5,8.0,8.0,4.5,0.0,4.5
13,34,1,50.0,38.5,11.5,11.0,9.5,0.5,10.0
16,37,97,52.5,47.5,5.0,5.0,6.5,0.0,6.5
17,34,1,58.5,47.5,11.0,11.0,2.5,0.0,2.5
19,34,1,66.5,55.5,11.0,11.0,2.5,0.0,2.5
18,35,1,69.5,55.5,14.0,12.0,6.5,2.0,8.5
20,37,36,71.0,63.0,8.0,8.0,6.0,0.0,6.0
21,35,2,82.5,69.5,13.0,13.0,8.5,0.0,8.5
22,98,1,82.5,68.5,14.0,14.0,3.5,0.0,3.5
25,37,97,88.5,83.5,5.0,5.0,6.5,0.0,6.5
24,35,2,89.0,76.0,13.0,13.0,3.0,0.0,3.0
23,97,2,92.5,80.5,12.0,11.0,11.5,1.0,12.5
28,38,36,101.5,94.5,7.0,7.0,5.5,0.0,5.5
27,36,1,106.5,93.5,13.0,13.0,8.5,0.0,8.5
26,98,2,108.5,91.5,17.0,15.0,10.5,2.0,12.5
29,98,2,115.0,100.0,15.0,15.0,7.0,0.0,7.0
31,37,36,117.5,109.5,8.0,8.0,8.5,0.0,8.5
