agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,35,1,18.5,6.5,12.0,12.0,5.5,0.0,5.5
8,37,34,20.0,14.0,6.0,6.0,7.0,0.0,7.0
9,38,35,23.5,17.5,6.0,6.0,7.5,0.0,7.5
7,98,2,25.5,8.5,17.0,15.0,4.5,2.0,6.5
13,38,34,34.5,29.5,5.0,5.0,4.5,0.0,4.5
12,97,1,35.0,25.0,10.0,10.0,3.0,0.0,3.0
10,98,2,39.0,23.5,15.5,15.0,7.5,0.5,8.0
14,37,36,43.5,35.5,8.0,8.0,7.5,0.0,7.5
11,36,2,46.5,29.5,17.0,14.0,10.5,3.0,13.5
16,38,98,53.0,45.0,8.0,8.0,11.0,0.0,11.0
15,98,1,55.5,39.5,16.0,14.0,8.5,2.0,10.5
17,37,35,58.0,51.0,7.0,7.0,14.0,0.0,14.0
18,34,1,60.5,47.5,13.0,11.0,7.5,2.0,9.5
20,36,1,69.0,56.0,13.0,13.0,10.0,0.0,10.0
19,97,2,70.5,59.5,11.0,11.0,16.5,0.0,16.5
22,37,34,71.0,65.0,6.0,6.0,13.0,0.0,13.0
21,38,35,71.5,65.5,6.0,6.0,16.5,0.0,16.5
25,37,36,85.0,77.0,8.0,8.0,4.0,0.0,4.0
24,38,98,87.0,79.0,8.0,8.0,9.0,0.0,9.0
23,98,2,87.5,72.5,15.0,15.0,5.5,0.0,5.5
27,37,35,97.5,90.5,7.0,7.0,8.5,0.0,8.5
28,97,2,101.0,90.0,11.0,11.0,5.0,0.0,5.0
29,36,1,103.0,90.0,13.0,13.0,2.0,0.0,2.0
26,34,2,103.5,86.5,17.0,12.0,7.5,5.0,12.5
30,37,35,105.5,98.5,7.0,7.0,7.5,0.0,7.5
31,38,34,108.5,103.5,5.0,5.0,9.5,0.0,9.5
