agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,36,1,18.5,5.5,13.0,13.0,4.5,0.0,4.5
7,97,1,24.0,14.0,10.0,10.0,8.5,0.0,8.5
8,35,1,29.5,17.5,12.0,12.0,7.5,0.0,7.5
9,98,1,35.0,21.0,14.0,14.0,6.5,0.0,6.5
12,38,35,40.0,34.0,6.0,6.0,6.0,0.0,6.0
10,34,2,41.5,29.5,12.0,12.0,10.5,0.0,10.5
11,36,2,45.5,29.5,16.0,14.0,6.0,2.0,8.0
13,37,35,47.5,40.5,7.0,7.0,8.0,0.0,8.0
15,37,36,55.0,47.0,8.0,8.0,5.5,0.0,5.5
14,97,2,60.0,49.0,11.0,11.0,12.0,0.0,12.0
17,97,2,66.5,55.5,11.0,11.0,5.0,0.0,5.0
16,34,1,68.5,57.5,11.0,11.0,11.5,0.0,11.5
18,35,2,77.5,64.5,13.0,13.0,9.5,0.0,9.5
19,36,2,80.0,64.0,16.0,14.0,4.5,2.0,6.5
21,37,35,83.5,76.5,7.0,7.0,8.0,0.0,8.0
22,38,34,83.5,78.5,5.0,5.0,5.5,0.0,5.5
20,98,2,88.0,71.0,17.0,15.0,7.0,2.0,9.0
25,38,35,95.5,89.5,6.0,6.0,3.0,0.0,3.0
24,37,35,100.0,90.0,10.0,7.0,8.0,3.0,11.0
26,38,34,102.0,97.0,5.0,5.0,6.0,0.0,6.0
23,36,2,103.0,87.5,15.5,14.0,10.0,1.5,11.5
28,38,36,109.5,102.5,7.0,7.0,2.5,0.0,2.5
29,38,97,113.5,107.5,6.0,6.0,3.0,0.0,3.0
27,36,2,114.0,100.0,14.0,14.0,4.5,0.0,4.5
30,34,2,128.5,116.5,12.0,12.0,7.5,0.0,7.5
31,35,1,130.5,118.5,12.0,12.0,5.0,0.0,5.0
