agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
5,36,1,18.5,5.5,13.0,13.0,4.5,0.0,4.5
6,97,1,23.5,13.5,10.0,10.0,8.5,0.0,8.5
7,35,1,28.5,16.5,12.0,12.0,7.5,0.0,7.5
8,98,2,34.5,19.5,15.0,15.0,6.5,0.0,6.5
10,37,34,40.5,34.5,6.0,6.0,13.5,0.0,13.5
11,38,97,45.0,39.0,6.0,6.0,14.0,0.0,14.0
9,36,2,45.5,29.5,16.0,14.0,12.5,2.0,14.5
14,37,34,56.0,50.0,6.0,6.0,13.0,0.0,13.0
12,35,2,58.5,45.5,13.0,13.0,16.5,0.0,16.5
13,36,2,61.0,44.5,16.5,14.0,11.5,2.5,14.0
16,38,98,69.0,61.0,8.0,8.0,16.0,0.0,16.0
15,98,2,69.5,54.5,15.0,15.0,13.5,0.0,13.5
18,37,97,76.0,71.0,5.0,5.0,14.0,0.0,14.0
17,35,1,81.5,69.5,12.0,12.0,16.5,0.0,16.5
20,38,97,84.5,78.5,6.0,6.0,13.5,0.0,13.5
19,34,1,85.0,74.0,11.0,11.0,13.0,0.0,13.0
21,36,1,94.0,81.0,13.0,13.0,12.0,0.0,12.0
23,35,1,100.5,88.5,12.0,12.0,11.5,0.0,11.5
24,37,97,101.0,96.0,5.0,5.0,15.0,0.0,15.0
22,98,2,106.5,91.5,15.0,15.0,18.5,0.0,18.5
25,38,98,112.0,104.0,8.0,8.0,19.0,0.0,19.0
27,34,1,115.0,104.0,11.0,11.0,3.0,0.0,3.0
26,37,36,119.5,111.5,8.0,8.0,14.5,0.0,14.5
28,38,34,122.5,117.5,5.0,5.0,12.5,0.0,12.5
29,37,98,130.0,121.0,9.0,9.0,8.0,0.0,8.0
31,36,2,136.5,122.5,14.0,14.0,1.5,0.0,1.5
