agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,34,11.5,6.5,5.0,5.0,5.5,0.0,5.5
7,37,98,21.5,12.5,9.0,9.0,7.5,0.0,7.5
9,97,1,25.5,15.5,10.0,10.0,2.5,0.0,2.5
8,38,98,26.0,16.0,10.0,8.0,7.0,2.0,9.0
10,97,2,35.5,24.5,11.0,11.0,7.5,0.0,7.5
12,38,97,35.5,29.5,6.0,6.0,4.5,0.0,4.5
11,37,36,37.5,29.5,8.0,8.0,8.5,0.0,8.5
15,37,34,46.5,40.5,6.0,6.0,3.5,0.0,3.5
13,35,2,47.0,34.0,13.0,13.0,5.0,0.0,5.0
16,37,36,53.5,45.5,8.0,8.0,4.5,0.0,4.5
14,98,2,56.0,39.0,17.0,15.0,6.0,2.0,8.0
18,37,98,61.5,52.5,9.0,9.0,3.5,0.0,3.5
17,35,1,62.5,50.5,12.0,12.0,5.5,0.0,5.5
20,37,36,69.5,61.5,8.0,8.0,4.5,0.0,4.5
19,97,2,73.0,62.0,11.0,11.0,9.0,0.0,9.0
21,38,98,75.0,67.0,8.0,8.0,6.0,0.0,6.0
22,37,35,79.5,72.5,7.0,7.0,7.5,0.0,7.5
23,97,1,86.5,76.5,10.0,10.0,7.5,0.0,7.5
24,36,2,91.0,76.5,14.5,14.0,3.5,0.5,4.0
25,36,1,93.0,80.0,13.0,13.0,3.0,0.0,3.0
26,97,2,95.5,84.5,11.0,11.0,3.5,0.0,3.5
