agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,35,12.5,6.5,6.0,6.0,5.5,0.0,5.5
7,34,1,22.5,11.5,11.0,11.0,6.5,0.0,6.5
9,35,1,25.5,13.5,12.0,12.0,0.5,0.0,0.5
8,36,1,28.0,14.5,13.5,13.0,5.5,0.5,6.0
11,37,97,34.5,29.5,5.0,5.0,8.5,0.0,8.5
10,98,1,37.5,23.5,14.0,14.0,6.5,0.0,6.5
12,38,35,38.5,32.5,6.0,6.0,7.5,0.0,7.5
13,38,35,46.0,40.0,6.0,6.0,7.0,0.0,7.0
15,38,97,51.5,45.5,6.0,6.0,4.5,0.0,4.5
14,98,2,57.5,42.5,15.0,15.0,5.5,0.0,5.5
17,38,36,59.0,52.0,7.0,7.0,3.0,0.0,3.0
16,98,2,63.5,48.5,15.0,15.0,3.5,0.0,3.5
18,97,2,66.0,54.5,11.5,11.0,1.5,0.5,2.0
20,38,98,74.0,66.0,8.0,8.0,5.0,0.0,5.0
19,34,2,78.5,66.5,12.0,12.0,9.5,0.0,9.5
22,38,35,80.5,74.5,6.0,6.0,5.5,0.0,5.5
21,37,98,83.5,74.5,9.0,9.0,9.5,0.0,9.5
24,38,98,91.0,83.0,8.0,8.0,6.0,0.0,6.0
25,34,1,94.5,83.5,11.0,11.0,2.5,0.0,2.5
23,36,1,97.0,81.5,15.5,13.0,8.5,2.5,11.0
26,36,1,100.5,87.5,13.0,13.0,2.5,0.0,2.5
