agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,38,97,12.5,6.5,6.0,6.0,5.5,0.0,5.5
7,98,1,25.0,8.5,16.5,14.0,3.5,2.5,6.0
9,38,98,26.5,18.5,8.0,8.0,5.5,0.0,5.5
8,35,2,29.5,15.5,14.0,13.0,6.5,1.0,7.5
10,37,97,29.5,24.5,5.0,5.0,7.5,0.0,7.5
11,38,36,35.5,28.5,7.0,7.0,7.5,0.0,7.5
14,37,98,43.5,34.5,9.0,9.0,1.5,0.0,1.5
13,98,2,49.0,31.5,17.5,15.0,2.5,2.5,5.0
15,38,36,49.5,42.5,7.0,7.0,5.5,0.0,5.5
12,34,2,52.0,38.0,14.0,12.0,13.0,2.0,15.0
16,37,36,56.5,48.5,8.0,8.0,7.5,0.0,7.5
17,38,35,58.0,52.0,6.0,6.0,7.0,0.0,7.0
19,37,34,63.5,57.5,6.0,6.0,4.5,0.0,4.5
20,36,2,71.5,57.5,14.0,14.0,0.5,0.0,0.5
18,98,1,72.0,58.0,14.0,14.0,9.0,0.0,9.0
22,38,97,74.5,68.5,6.0,6.0,3.5,0.0,3.5
21,98,1,78.5,64.5,14.0,14.0,3.5,0.0,3.5
25,38,35,86.5,80.5,6.0,6.0,3.5,0.0,3.5
23,35,1,90.5,77.5,13.0,12.0,8.5,1.0,9.5
24,37,98,91.0,82.0,9.0,9.0,9.0,0.0,9.0
26,38,97,92.5,86.5,6.0,6.0,5.5,0.0,5.5
