agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
7,34,1,22.5,11.5,11.0,11.0,6.5,0.0,6.5
8,36,2,28.5,14.5,14.0,14.0,5.5,0.0,5.5
10,38,34,28.5,23.5,5.0,5.0,6.5,0.0,6.5
9,98,2,33.5,18.5,15.0,15.0,5.5,0.0,5.5
11,37,36,37.5,29.5,8.0,8.0,8.5,0.0,8.5
13,38,97,41.5,33.5,8.0,6.0,4.5,2.0,6.5
14,37,97,45.5,40.5,5.0,5.0,7.5,0.0,7.5
12,97,2,47.5,36.5,11.0,11.0,11.5,0.0,11.5
15,38,98,51.5,43.5,8.0,8.0,6.5,0.0,6.5
16,37,36,53.5,45.5,8.0,8.0,4.5,0.0,4.5
18,38,34,56.5,51.5,5.0,5.0,2.5,0.0,2.5
17,34,2,59.5,47.5,12.0,12.0,2.5,0.0,2.5
19,38,36,64.5,57.5,7.0,7.0,4.5,0.0,4.5
21,38,35,70.0,64.0,6.0,6.0,3.0,0.0,3.0
20,37,35,75.0,63.5,11.5,7.0,6.5,4.5,11.0
22,36,1,78.5,65.5,13.0,13.0,0.5,0.0,0.5
24,38,35,82.0,76.0,6.0,6.0,3.0,0.0,3.0
23,37,36,83.5,75.5,8.0,8.0,6.5,0.0,6.5
25,38,34,86.0,81.0,5.0,5.0,4.0,0.0,4.0
27,38,34,93.0,88.0,5.0,5.0,3.0,0.0,3.0
26,98,2,102.5,87.5,15.0,15.0,6.5,0.0,6.5
28,35,2,106.0,93.0,13.0,13.0,4.0,0.0,4.0
29,38,98,106.5,98.5,8.0,8.0,5.5,0.0,5.5
30,34,1,112.0,101.0,11.0,11.0,4.0,0.0,4.0
32,38,34,116.5,111.5,5.0,5.0,6.5,0.0,6.5
31,37,36,117.5,109.5,8.0,8.0,8.5,0.0,8.5
33,97,1,125.5,115.5,10.0,10.0,6.5,0.0,6.5
34,37,35,128.5,121.5,7.0,7.0,8.5,0.0,8.5
35,38,36,128.5,121.5,7.0,7.0,4.5,0.0,4.5
36,98,2,138.5,123.5,15.0,15.0,2.5,0.0,2.5
38,34,1,142.5,131.5,11.0,11.0,2.5,0.0,2.5
37,98,1,145.5,129.5,16.0,14.0,4.5,2.0,6.5
40,38,35,148.5,142.5,6.0,6.0,5.5,0.0,5.5
39,98,2,154.0,137.0,17.0,15.0,4.0,2.0,6.0
41,34,2,162.5,150.5,12.0,12.0,9.5,0.0,9.5
42,37,98,162.5,153.5,9.0,9.0,8.5,0.0,8.5
44,38,35,164.5,158.5,6.0,6.0,5.5,0.0,5.5
43,35,2,165.0,149.5,15.5,13.0,0.5,2.5,3.0
46,38,34,175.5,170.5,5.0,5.0,9.5,0.0,9.5
45,97,2,178.0,167.0,11.0,11.0,10.0,0.0,10.0
47,36,1,180.5,167.5,13.0,13.0,2.5,0.0,2.5
48,97,1,185.5,175.5,10.0,10.0,6.5,0.0,6.5
50,97,1,189.5,179.5,10.0,10.0,2.5,0.0,2.5
49,35,1,192.5,180.5,12.0,12.0,7.5,0.0,7.5
51,38,35,193.0,187.0,6.0,6.0,6.0,0.0,6.0
53,37,97,201.5,196.5,5.0,5.0,7.5,0.0,7.5
52,97,1,205.5,195.5,10.0,10.0,10.5,0.0,10.5
54,98,1,213.5,199.5,14.0,14.0,6.5,0.0,6.5
55,36,1,216.5,202.0,14.5,13.0,5.0,1.5,6.5
57,37,36,217.5,209.5,8.0,8.0,4.5,0.0,4.5
