agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,34,13.5,7.5,6.0,6.0,6.5,0.0,6.5
8,37,97,21.5,16.5,5.0,5.0,7.5,0.0,7.5
7,35,1,22.5,10.5,12.0,12.0,5.5,0.0,5.5
10,37,97,26.5,19.5,7.0,5.0,2.5,2.0,4.5
9,35,1,31.5,19.5,12.0,12.0,6.5,0.0,6.5
12,38,36,34.5,27.5,7.0,7.0,2.5,0.0,2.5
13,97,2,42.5,31.5,11.0,11.0,2.5,0.0,2.5
11,34,2,45.5,31.5,14.0,12.0,10.5,2.0,12.5
14,38,97,46.5,40.5,6.0,6.0,7.5,0.0,7.5
15,37,36,50.5,42.5,8.0,8.0,5.5,0.0,5.5
16,38,35,53.5,47.5,6.0,6.0,6.5,0.0,6.5
18,38,34,59.5,52.5,7.0,5.0,3.5,2.0,5.5
19,37,36,66.5,58.5,8.0,8.0,5.5,0.0,5.5
17,34,1,68.0,55.0,13.0,11.0,10.0,2.0,12.0
21,37,98,74.5,65.5,9.0,9.0,4.5,0.0,4.5
20,35,2,76.5,60.5,16.0,13.0,3.5,3.0,6.5
23,35,2,85.5,72.5,13.0,13.0,3.5,0.0,3.5
22,34,2,88.0,75.5,12.5,12.0,10.5,0.5,11.0
26,38,34,92.5,87.5,5.0,5.0,6.5,0.0,6.5
25,35,2,94.5,81.5,13.0,13.0,4.5,0.0,4.5
24,97,2,97.0,84.0,13.0,11.0,11.0,2.0,13.0
