agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,98,16.5,7.5,9.0,9.0,6.5,0.0,6.5
7,38,35,19.5,13.5,6.0,6.0,8.5,0.0,8.5
8,34,2,27.5,15.5,12.0,12.0,6.5,0.0,6.5
9,36,2,32.5,18.5,14.0,14.0,5.5,0.0,5.5
11,37,34,33.0,27.0,6.0,6.0,6.0,0.0,6.0
10,97,2,35.5,22.5,13.0,11.0,5.5,2.0,7.5
15,38,97,44.0,38.0,6.0,6.0,1.0,0.0,1.0
12,98,2,47.5,32.5,15.0,15.0,7.5,0.0,7.5
13,36,1,50.5,37.5,13.0,13.0,8.5,0.0,8.5
14,98,1,55.5,41.5,14.0,14.0,8.5,0.0,8.5
17,37,35,56.0,49.0,7.0,7.0,4.0,0.0,4.0
16,35,2,61.5,48.5,13.0,13.0,7.5,0.0,7.5
19,38,97,66.5,60.5,6.0,6.0,7.5,0.0,7.5
20,35,1,70.0,58.0,12.0,12.0,1.0,0.0,1.0
18,34,1,72.5,59.5,13.0,11.0,10.5,2.0,12.5
21,38,36,74.5,67.5,7.0,7.0,6.5,0.0,6.5
22,37,35,80.0,73.0,7.0,7.0,8.0,0.0,8.0
23,97,1,81.5,71.5,10.0,10.0,2.5,0.0,2.5
24,38,35,86.0,80.0,6.0,6.0,7.0,0.0,7.0
25,37,34,88.5,82.5,6.0,6.0,5.5,0.0,5.5
26,38,35,92.0,86.0,6.0,6.0,5.0,0.0,5.0
