agent_id,start,goal,arrival_time,departure_time,taxi_time,optimal taxi_time,waiting_time,taxi_delay,total_delay
6,37,97,12.5,7.5,5.0,5.0,6.5,0.0,6.5
7,38,98,19.5,11.5,8.0,8.0,6.5,0.0,6.5
8,37,98,25.5,16.5,9.0,9.0,7.5,0.0,7.5
9,36,2,31.5,17.5,14.0,14.0,4.5,0.0,4.5
10,34,1,34.5,23.5,11.0,11.0,6.5,0.0,6.5
11,36,1,37.0,23.5,13.5,13.0,2.5,0.5,3.0
13,38,36,41.5,34.5,7.0,7.0,5.5,0.0,5.5
12,37,98,43.5,33.5,10.0,9.0,8.5,1.0,9.5
16,38,35,53.0,47.0,6.0,6.0,6.0,0.0,6.0
15,37,36,53.5,45.5,8.0,8.0,8.5,0.0,8.5
14,35,1,58.0,43.0,15.0,12.0,10.0,3.0,13.0
18,38,34,60.5,55.5,5.0,5.0,6.5,0.0,6.5
17,34,2,61.5,49.5,12.0,12.0,4.5,0.0,4.5
19,37,34,66.0,60.0,6.0,6.0,7.0,0.0,7.0
20,38,98,71.5,63.5,8.0,8.0,6.5,0.0,6.5
21,35,2,76.5,63.5,13.0,13.0,2.5,0.0,2.5
23,38,35,77.0,71.0,6.0,6.0,2.0,0.0,2.0
22,37,35,80.0,71.0,9.0,7.0,6.0,2.0,8.0
24,98,1,88.5,74.5,14.0,14.0,1.5,0.0,1.5
26,98,1,98.0,84.0,14.0,14.0,3.0,0.0,3.0
27,38,36,98.0,91.0,7.0,7.0,6.0,0.0,6.0
